name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature,mood
A Thousand Years,A Thousand Years,Christina Perri,6lanRgr6wXibZr8KgzXxBl,2011-10-18,80,285120,0.421,0.309,0.407,0.000961,0.11,0.161,-7.445,0.0267,139.028,10,3,Calm
Across the Sea,The Sweeplings,The Sweeplings,5lF0udjDpntF5K2eN0bbvs,2014-09-08,44,203760,0.511,0.814,0.305,6.06E-06,0.0949,0.195,-11.62,0.0273,73.923,0,4,Calm
Adagio For Strings,Adagio For Strings,Lucas & Steve,1RvDsjCBDTES3lPiEGNNMY,2018-11-09,55,197189,0.349,0.000877,0.793,0.431,0.22,0.0398,-6.748,0.0677,127.139,10,4,Energetic
Adjustments,Adjustments,Josie Mehlin,6w0vhPaZBYjhrDobs3QE14,2020-01-17,52,182000,0.532,0.974,0.541,0.864,0.228,0.329,-11.932,0.0283,136.063,0,4,Calm
Adrift,Adrift,Cooper Sams,3TNNGjgOQ7O8vwAlvlD9Fg,2018-03-21,53,158117,0.382,0.497,0.333,0.918,0.106,0.0486,-15.573,0.0367,84.974,7,4,Calm
æfre,æfre,praam,2irbT1BSYaIEF44PlyKaoM,2020-07-17,41,186331,0.377,0.994,0.0156,0.881,0.0991,0.0804,-28.435,0.0397,140.179,0,4,Calm
Afraid of Heights,Afraid of Heights,Billy Talent,0P44AUPRzaIAHNWquN0fGR,2016-07-29,38,225680,0.543,0.000168,0.991,1.31E-05,0.374,0.766,-2.78,0.0668,150.031,9,4,Energetic
Africa,Toto IV,TOTO,2374M0fQpWi3dLnB54qaLX,1982-04-08,84,295893,0.671,0.257,0.373,7.95E-05,0.0481,0.732,-18.064,0.0323,92.717,9,4,Happy
After The Rain,After The Rain,Comet Blue,2XBc2jWnvPqNO2LebVtLaY,2020-08-03,24,116625,0.456,0.993,0.0337,0.948,0.126,0.3,-26.87,0.0334,97.199,0,4,Calm
Afterlife,Avenged Sevenfold,Avenged Sevenfold,4QdwsME04RG25KPHcPYoox,2007-10-30,13,351560,0.492,0.000444,0.95,6.22E-05,0.22,0.391,-4.195,0.076,110.027,2,4,Energetic
Ain't No Mountain High Enough,United,Marvin Gaye,2H3ZUSE54pST4ubRd5FzFR,1967-08-29,0,151666,0.669,0.482,0.616,0,0.179,0.818,-10.776,0.033,130.037,11,4,Happy
Algo Rhythm,Temporär Musik 1-13,One Sentence. Supervisor,0PqJ7LSknltqqMNqPDClNA,2016-10-28,0,210626,0.402,1.19E-05,0.75,0.959,0.122,0.58,-7.358,0.0293,149.941,2,4,Sad
Aliens,Aliens,Srsly,43tfH3zZPmDjaS5mQZVRFg,2017-08-17,31,210015,0.66,0.299,0.697,7.88E-05,0.141,0.316,-6.446,0.0786,159.977,6,4,Energetic
Alison,Souvlaki,Slowdive,55CenVQ4alvDJ1PS8aYB0m,1993,0,231893,0.279,0.00957,0.423,0.837,0.128,0.291,-12.06,0.038,101.571,4,4,Sad
Alive,Alive,Paris Blohm,2rPJcL8gQauA2nBdRyNZZL,2018-11-16,51,180468,0.494,0.00248,0.847,0,0.0502,0.148,-3.996,0.0537,129.909,0,4,Energetic
All I Want,The Kodaline EP,Kodaline,1XczdQt6RKNkEQfPqUsi3q,2012-09-07,29,306600,0.189,0.113,0.427,0.0923,0.058,0.158,-9.08,0.0449,187.212,0,3,Sad
All in the Suit That You Wear,Thank You,Stone Temple Pilots,17Nk1aji6gd26vabky7fMi,2003-11-10,39,219573,0.429,1.94E-05,0.982,0.0185,0.312,0.583,-2.962,0.0617,122.881,2,4,Energetic
All Mirrors,All Mirrors,Angel Olsen,4ZQdynvfiayhdoq5lcuCQ1,2019-07-31,1,282026,0.429,0.00299,0.689,0.00193,0.152,0.23,-7.38,0.0379,105.04,7,4,Sad
All of Me,Love In The Future (Expanded Edition),John Legend,3U4isOIWM3VvDubwSI3y7a,2013-08-30,85,269560,0.422,0.922,0.264,0,0.132,0.331,-7.064,0.0322,119.93,8,4,Sad
All or Nothing (feat. Axel Ehnström) - Deluxe Mix,Less is More (Deluxe),Lost Frequencies,15bAMg00o4VdWmQrlkbfG3,2017-07-14,22,170458,0.737,0.226,0.816,0.453,0.621,0.533,-9.22,0.0411,124.014,4,4,Happy
All the People Said Amen,All The People Said Amen,Matt Maher,31HveB33DoO9x7P3UvkRct,2013-04-19,47,180320,0.685,0.0247,0.875,0,0.0874,0.82,-5.217,0.056,94.987,7,4,Happy
All These Things I Hate (Revolve Around Me),The Poison,Bullet For My Valentine,6hZkQjIQBY7HAj4nzLUvdx,2005-09-01,39,225440,0.488,0.0303,0.879,0,0.288,0.483,-3.505,0.0514,94.003,6,3,Energetic
alpha waves,alpha waves,Eucalyptic,5ZCW5CDwhfXJGL2MzxGwhx,2019-11-11,59,205127,0.561,0.795,0.314,0.876,0.115,0.0883,-16.989,0.0281,95.931,4,4,Calm
Always,Back Into Your System,Saliva,7kpa6MWRrPaF3b6C0DgioK,2002-11-12,63,231200,0.363,0.0122,0.906,0,0.172,0.371,-4.415,0.0615,181.964,1,4,Energetic
Always at Our Side,Always at Our Side,wrong address,1hbFUt6KAtITut0l8Bmpon,2018-02-14,32,171219,0.668,0.0125,0.92,0.207,0.106,0.426,-4.628,0.196,163.956,6,4,Energetic
Ambre,Wintermusik,Nils Frahm,0suQ6B8Bsp0tFuCXx652Az,2009-12-04,0,227639,0.391,0.992,0.0576,0.947,0.117,0.359,-25.585,0.0342,145.569,10,3,Calm
Anaviosi,Anaviosi,Alexi Musnitsky,4OWZLr2sLv7ueKPHV7JRNP,2020-07-09,38,174244,0.391,0.995,0.0121,0.946,0.0959,0.118,-24.588,0.0852,68.128,1,4,Calm
Anchor,Anchor,Novo Amor,6x6XKEUcCJGUACD4Xh7KuP,2015-10-23,0,256282,0.486,0.755,0.356,0.861,0.0986,0.111,-13.649,0.0318,117.141,9,4,Sad
Andromeda,Andromeda,Weyes Blood,0L6lVIgGqVHnmR3BIy8GHa,2019-01-17,36,280186,0.463,0.367,0.462,0.0012,0.356,0.189,-7.94,0.0272,131.273,1,4,Sad
Angel's Song,Angel's Song,Arlo Parks,5hXTMmVXz1Ablgu34BkTz1,2019-11-20,58,197243,0.693,0.894,0.195,0.0325,0.126,0.315,-15.278,0.0446,116.725,11,4,Sad
Angry Chair,The Essential Alice In Chains,Alice In Chains,6H0wgcQCOuLYqDuNhMW8KL,2006-07-24,22,288400,0.313,0.0642,0.973,1.22E-06,0.0581,0.118,-3.855,0.109,107.3,8,4,Energetic
Another Love,Long Way Down (Deluxe),Tom Odell,3JvKfv6T31zO0ini8iNItO,2013-06-24,86,244360,0.445,0.695,0.537,1.65E-05,0.0944,0.131,-8.532,0.04,122.769,4,4,Sad
Anthem,Anthem,EDX,1SSAvErVyid5OXzmtGZKkg,2018-03-30,44,158483,0.664,0.00152,0.86,0.894,0.197,0.249,-4.505,0.0345,121.991,7,4,Happy
Anthem of Our Dying Day,Page Avenue (US Non-PA Version),Story Of The Year,4sPJgy0CksvmXp9jC0W4gv,2003-09-16,56,216026,0.388,0.0211,0.8,0,0.212,0.357,-6.33,0.0783,194.744,9,3,Energetic
Are You Gonna Be My Girl,Get Born,Jet,305WCRhhS10XUcH6AEwZk6,2003-09-15,75,213800,0.613,0.00148,0.953,0.000582,0.152,0.537,-3.435,0.0855,105.046,2,4,Happy
Arms,On the Train Ride Home,The Paper Kites,48HT7Zzd3We4ZjG82lsbdK,2018-04-18,63,203560,0.41,0.931,0.141,0.0898,0.118,0.239,-18.564,0.0337,149.884,2,4,Calm
Arms Around You,Arms Around You,Jamie Grey,32zCAMtxlehzVD0YOVzVkz,2020-05-15,58,191146,0.53,0.841,0.271,0,0.103,0.392,-9.847,0.0491,101.796,11,4,Sad
Arrows - Acoustic,Arrows (Stripped),Angel Snow,4mVTkdIUe8sTyDTo017rjV,2019-03-08,25,215776,0.6,0.919,0.109,1.67E-06,0.125,0.371,-18.125,0.0434,128.919,2,4,Calm
As I Sleep (feat. Charlee),As I Sleep (feat. Charlee),Tobtok,72qlZsoVPpyFxVjL6GUuYI,2018-04-13,55,193471,0.694,0.0195,0.824,0.0426,0.327,0.202,-6.306,0.161,123.014,8,4,Energetic
Ashes to Ashes,Ashes to Ashes,Warpaint,2lJa0SY7vZpvJ7QDFanOuZ,2010-10-05,51,310226,0.696,0.186,0.871,0.0282,0.173,0.8,-6.482,0.0357,118.938,1,4,Sad
Atlavík,Varða,Hugar,6WdO6Ds95sLALCqCOfbDQh,2019-08-23,53,155733,0.535,0.867,0.147,0.797,0.0825,0.238,-25.141,0.0382,126.823,2,4,Calm
ATTACK,A Beautiful Lie + 30 Seconds To Mars,Thirty Seconds To Mars,6QxTWEvzcJljVZaeTzuHF1,2007-05-15,0,189200,0.331,0.00344,0.876,0.000835,0.732,0.299,-1.894,0.0603,175.009,5,4,Energetic
Auburn Sky,Auburn Sky,Toledo Rains,42BtxDRqFTbE6Jb6rd9QOZ,2020-03-10,48,162829,0.265,0.906,0.035,0.89,0.0932,0.0651,-26.502,0.0359,132.972,4,4,Calm
Awaken,Awaken,William Duhamel,00ZtJgQax06A96l8sMcmlB,2020-01-02,55,129936,0.346,0.929,0.0943,0.918,0.102,0.109,-13.632,0.0362,127.006,2,3,Calm
Away From Me,Life On Display,Puddle Of Mudd,4wzaTdhmBgpch7IXu3CskA,2003-01-01,0,238466,0.396,0.00061,0.93,0,0.168,0.195,-2.939,0.1,154.777,8,4,Energetic
Baby Where You Are,Magic Ship,Mountain Man,7tZwFmarYtM2Yxy8IRW8wb,2018-09-21,43,169333,0.608,0.945,0.0491,0.0321,0.115,0.337,-19.527,0.0382,127.688,7,3,Calm
Back,Hyperbolic Time Chamber EP,FelMax,6Ye4WRsHnRDO3u1AmyZcwl,2017-03-17,0,171019,0.717,0.00198,0.952,0.751,0.0617,0.163,-0.921,0.0453,160.006,2,4,Energetic
Back To U - Matrix & Futurebound Remix,Back To U (Matrix & Futurebound Remix),SLANDER,588TIiNqDWazxZcxe2hRIE,2020-12-10,53,259396,0.533,0.000404,0.919,0.185,0.525,0.23,-3.395,0.0477,173.972,4,4,Energetic
Back Where I Belong (feat. Avicii),Back Where I Belong (feat. Avicii),Otto Knows,78W8wiUIlQ2SnWY9TVowKZ,2016-06-03,56,174202,0.497,0.0306,0.865,0.0679,0.443,0.595,-3.19,0.0644,125.96,0,4,Energetic
Back+,Back+,Ton Snijders,6MrVWgw16iHBGRntjRkGQq,2020-04-10,26,198746,0.383,0.993,0.0197,0.944,0.121,0.113,-28.192,0.0528,67.555,7,3,Calm
Bad Feeling,Bad Feeling,Muzz,1qUaWLUot3Iik95S09cdSZ,2020-03-12,39,157930,0.512,0.351,0.352,0.74,0.106,0.275,-9.093,0.0354,82.943,5,4,Sad
Bad Kingdom,Gold,May,7vCuaxRIKElwgjSAo5REkw,2018-01-19,57,193220,0.401,0.934,0.199,0.0064,0.112,0.0744,-14.409,0.0355,118.351,9,4,Sad
Bad Timing,Bad Timing,Arlo Day,2KSCegx6TosQQEgmhJKNQa,2019-04-15,30,254886,0.471,0.689,0.289,0.000535,0.0865,0.225,-9.784,0.0258,146.352,6,4,Sad
Ballad of the Dying Man,Ballad of the Dying Man,Father John Misty,65w8nArxPq2EzOAhteymf0,2017-02-01,0,290736,0.399,0.848,0.443,0.000406,0.0899,0.265,-9.168,0.0272,139.643,5,4,Sad
Balloon,Balloon,YuMe,6a9DN96EWRc56Lwl5YD7KL,2020-05-01,34,143212,0.408,0.987,0.00518,0.929,0.12,0.0381,-29.142,0.0355,72.291,5,3,Calm
Bang! - Original Mix,Bang!,DJ M.E.G. & N.E.R.A.K.,7LOfwugSzq5In1t6iEx5GG,2013-05-18,30,262694,0.744,0.00228,0.839,0.714,0.0462,0.457,-5.332,0.0803,160.077,2,4,Energetic
Bat Country,City of Evil,Avenged Sevenfold,6irNz2hSXvd2QJG0vXyBFR,2005-06-06,39,311813,0.541,0.000248,0.968,8.28E-06,0.423,0.505,-4.129,0.0396,125.04,0,4,Energetic
Bayybe 07,Bayybe,Bilo 503,08qO8i2K0Hxl0h8PIncyuH,2017-11-17,50,114195,0.44,0.827,0.384,0.934,0.156,0.0912,-12.331,0.0453,127.938,7,4,Calm
Be My Mistake,A Brief Inquiry Into Online Relationships,The 1975,0AG2l0IboWNSwjUkMr2Aq7,2018-11-30,39,256688,0.572,0.835,0.155,0.000137,0.0906,0.0949,-14.405,0.0344,109.923,6,3,Sad
Beautiful Day,All That You Can't Leave Behind,U2,1VuBmEauSZywQVtqbxNqka,2000-01-01,65,246400,0.539,0.014,0.926,0.00136,0.36,0.454,-6.495,0.0499,136.279,2,4,Happy
Beautiful Life,Beautiful Life,Lost Frequencies,2s25Z079T5KRzfqEQRMQQ4,2016-06-03,31,161463,0.732,0.127,0.52,0.0347,0.139,0.339,-6.684,0.0376,119.979,2,4,Happy
Beautiful Night,Burden Brothers EP,Burden Brothers,4zhRVs7eqgdroy5E3kKEs2,2002-08-13,38,259529,0.531,0.000508,0.892,0.024,0.144,0.599,-4.54,0.0582,130.133,7,4,Energetic
Bedroom Ceiling,Bedroom Ceiling,Sody,1jXKRARVJQFG3jTvZEgxsP,2020-05-28,56,180085,0.49,0.728,0.416,0,0.0694,0.236,-7.702,0.127,125.928,6,4,Sad
Beekweide,Beekweide,Job Roggeveen,199PI6mx1IFrDk8ZMtNTyX,2020-07-10,34,219215,0.321,0.984,0.11,0.963,0.115,0.173,-23.63,0.0345,73.914,8,4,Calm
Before You Go,Divinely Uninspired To A Hellish Extent (Extended Edition),Lewis Capaldi,2gMXnyrvIjhVBUZwvLZDMP,2019-11-22,85,215106,0.459,0.604,0.575,0,0.0885,0.183,-4.858,0.0573,111.881,3,4,Sad
"Beginning Middle End - From The Netflix Film ""To All The Boys: Always and Forever""",To All The Boys: Always and Forever (Music From The Netflix Film),Various Artists,5Dz8nrwQlPLE68WaTEIqY5,2021-02-12,63,194826,0.674,0.43,0.676,3.13E-05,0.108,0.919,-6.878,0.0367,78.99,2,4,Sad
Bennie And The Jets - Remastered 2014,Goodbye Yellow Brick Road (40th Anniversary Celebration/ Super Deluxe Edition),Elton John,3iJxloILmOu2NIRZ0OGyui,1973-10-05,0,322548,0.666,0.251,0.668,5.77E-06,0.499,0.765,-7.961,0.0523,132.666,0,4,Happy
Berlin,Dawn,RY X,7BSMSvK0WxrDeI98bswYa8,2016-05-06,59,174172,0.393,0.963,0.0668,0.105,0.107,0.0384,-20.755,0.0404,136.938,7,4,Calm
Best Day Of My Life,Best Day Of My Life,American Authors,5k31cAfP8yymw8v0AYQIjr,2013-03-19,0,194000,0.672,0.0545,0.901,0.000285,0.0792,0.507,-2.415,0.0353,99.989,2,4,Happy
Better Slow It Down,Better Slow It Down,Notixx,5cjjE1P9WFBf7bLO61lthH,2017-11-03,30,300000,0.689,0.0179,0.997,0.00919,0.32,0.774,-2.86,0.181,80.004,1,4,Energetic
Better Than Today,Better Than Today,Rhys Lewis,6MLHg35rlksBc5OBcdZvJi,2019-01-04,60,230353,0.387,0.736,0.234,0,0.084,0.408,-8.861,0.0373,78.65,0,4,Sad
Better Together,In Between Dreams,Jack Johnson,4VywXu6umkIQ2OS0m1I79y,2005-01-01,72,207680,0.868,0.308,0.347,2E-05,0.11,0.659,-9.529,0.0536,110.059,5,4,Happy
Betty,Betty,Wilson Trouvé,0yBM8cOHjb6iiMI2eM8pIc,2020-05-29,32,161750,0.171,0.89,0.185,0.94,0.101,0.264,-19.651,0.0348,142.694,9,4,Calm
Billinghurst,Damon EP,Jeremy Olander,6B2jQL05apmJlDZtPIxD3R,2017-04-21,0,456585,0.769,0.0305,0.701,0.85,0.0929,0.168,-9.089,0.062,123.011,5,4,Energetic
Bird,Writing of Blues and Yellows (Deluxe Version),Billie Marten,6DzvC1VHpyTFfLBbAYBa7W,2016-09-23,55,220640,0.235,0.988,0.187,0.00197,0.106,0.118,-12.754,0.0347,85.962,6,4,Sad
Birthday,Birthday,Maisie Peters,5QvL5shIrzH2A2zG0DZwh3,2017-11-10,50,194000,0.627,0.712,0.255,0,0.0901,0.307,-11.225,0.0342,105.072,1,4,Calm
Bison on the Plains,Bison on the Plains,Grandaddy,0e0hVla9NkILk2JWOwVCMW,2018-11-19,32,308800,0.476,0.285,0.522,0.0127,0.193,0.0973,-8.159,0.0281,133.874,9,4,Sad
Black Car,Black Car,Beach House,7ESnexsnylx85YfT6ZiSun,2018-05-02,0,251160,0.407,0.344,0.549,0.901,0.111,0.32,-10.244,0.0293,77.473,9,4,Sad
Black Hole - Acoustic Version,Black Hole (Acoustic Version),Griff,1cpVLszZnKUHUjsJDTEi3D,2021-03-19,60,175979,0.824,0.854,0.3,0,0.174,0.227,-6.678,0.0565,112.867,1,4,Sad
Black Moss,nūmūn,Johanna Warren,43Brqebz9aqpMyoCuqc6ns,2015-05-15,32,248349,0.432,0.916,0.267,0.00107,0.122,0.158,-11.739,0.031,131.02,11,4,Calm
Blackout,Blackout,(Hed) P.E.,6yTnvHRhUuuaoxy4dHzLGo,2003,37,233266,0.548,0.00016,0.864,0.00262,0.0354,0.5,-6.258,0.0557,95.569,1,4,Energetic
Blame,Blame,Manse,3TSZpRzSEKL1dFfpd1JDoF,2019-06-26,53,180937,0.612,0.619,0.68,0,0.0786,0.346,-4.925,0.0346,127.909,0,4,Energetic
Blame,Blame,Grace Carter,6pQUQdaZacg722q6sg6fPR,2020-07-17,62,251527,0.34,0.781,0.398,6.08E-05,0.193,0.197,-8.156,0.0711,171.391,6,3,Sad
Blast Like,Blast Like,SIPPY,5iA3mtmjnwWLHLwKhFiGct,2020-12-04,51,149725,0.708,0.0526,0.926,0.0261,0.325,0.41,-2.881,0.276,74.985,8,4,Energetic
Blaster,Blaster,Marc Benjamin,1fMZR4DD2mE0iXginD9fOc,2018-11-23,0,159523,0.667,0.0326,0.857,0.464,0.27,0.301,-4.729,0.0468,125.946,2,4,Energetic
Bleed American,Bleed American,Jimmy Eat World,61XspFITuKmAlYdQacNCbF,2001-07-17,63,181493,0.438,0.00842,0.938,1.08E-06,0.806,0.584,-5.611,0.094,160.212,6,4,Energetic
Bloodbuzz Ohio,Bloodbuzz Ohio,SOAK,2pfkaHd8arhESSxyJAou6g,2019-11-25,46,279967,0.441,0.715,0.268,1.49E-06,0.11,0.057,-8.173,0.0308,140.073,6,4,Sad
Bloom,Bloom,Hilder Sky,5DP6ow4t5Mmfge0fMRhSJD,2019-05-30,52,121069,0.249,0.945,0.129,0.839,0.17,0.253,-18.167,0.0324,70.59,4,5,Calm
Bloom - Bonus Track,Woodland - EP,The Paper Kites,41yIvlFgvGwxq8qTqAR7eG,2013-03-05,73,210080,0.592,0.882,0.416,0.000586,0.112,0.417,-9.794,0.0246,96.002,1,4,Calm
Bloom Innocent,Bloom Innocent,Fink,7zNT9GE070fYjnhx6TFWnQ,2019-09-04,20,416353,0.519,0.931,0.236,0.133,0.127,0.283,-18.378,0.0362,80.008,2,4,Sad
Blow,Blow,Yves V,4nX11Rjdh7AuM8Ezb73m1R,2017-05-15,0,165000,0.603,0.0186,0.902,0.683,0.105,0.135,-5.979,0.0494,127.973,5,4,Happy
blue,blue,Kamal.,7pt64sepCy5QmDrgy9wOJS,2020-05-20,58,184500,0.725,0.668,0.258,2.63E-05,0.0955,0.173,-14.065,0.255,127.876,11,3,Sad
Body,Body,Jordan Suaste,6wQgV6ZYt1snXyQV69mGT4,2020-05-15,68,205401,0.452,0.627,0.325,0,0.0645,0.33,-8.687,0.0337,97.987,4,4,Sad
Body Rock,Body Rock,Bingo Players,3wcaYUOKVSEbmmGB43YGqf,2018-11-16,46,158212,0.627,0.00919,0.944,0.00311,0.444,0.551,-4.459,0.344,126.078,5,4,Happy
Body Sun,Unfurl,RY X,44ESfFxXvgdG3LY0SgbWav,2019-02-15,45,300640,0.575,0.756,0.403,0.391,0.109,0.0554,-13.236,0.0278,121.97,9,4,Calm
Boiler,Chocolate Starfish And The Hot Dog Flavored Water (Explicit Version),Limp Bizkit,5UaOg4eymp98fxKyx6SHmB,2000-01-01,0,420266,0.443,0.00393,0.722,0.0155,0.0373,0.167,-6.326,0.0865,111.324,6,4,Energetic
"Boring, Happy, Beautiful","Boring, Happy, Beautiful",Sianon,0W4prfO7VR3dDo1PfINTXE,2020-11-20,47,168522,0.401,0.879,0.215,0,0.134,0.166,-10.349,0.0649,172.109,7,5,Sad
Bortom Träden,I Blomstertid,Erik Reno,4CFlaEtdgeu4mFmnUApAyl,2020-06-07,48,260564,0.446,0.801,0.0586,0.85,0.0876,0.111,-26.416,0.0416,124.019,8,4,Calm
Both of Us,Both of Us,Yellow Claw,6QcIPGlQpohjUNPpIv1OsB,2017-11-24,0,198152,0.573,0.368,0.742,0.00239,0.285,0.33,-3.089,0.0453,160.108,5,4,Energetic
Bottom of a Bottle,Shapeshifter,Smile Empty Soul,1XZrMIHtCVJPqK29Mzm44G,2016-04-01,61,221826,0.537,0.00236,0.847,1.16E-06,0.0844,0.459,-5.208,0.0383,106.055,6,4,Energetic
Bottom Of The Sea,Bottom Of The Sea,Isaac Elton,5OTdNMpl1EPr3tOLyyRIc3,2017-07-11,48,242213,0.775,0.00681,0.66,0.171,0.22,0.425,-7.929,0.0444,126.022,0,4,Happy
Bouquet with Lilies,Bouquet with Lilies,La Acacia,1j45uvYWACNGDZ0jmKSTuP,2019-10-30,56,216607,0.621,0.716,0.345,0.921,0.091,0.113,-12.106,0.0295,117.683,0,4,Calm
Break My Heart - Piano Acoustic,Break My Heart (Piano Acoustic),JC Stewart,7e5HVLu9xSydLebKSqBebM,2021-02-12,58,218293,0.448,0.943,0.247,3.61E-05,0.109,0.276,-10.454,0.0466,134.5,6,4,Calm
Break My Heart - Piano Acoustic,Break My Heart (Piano Acoustic),JC Stewart,7e5HVLu9xSydLebKSqBebM,2021-02-12,58,218293,0.448,0.943,0.247,3.61E-05,0.109,0.276,-10.454,0.0466,134.5,6,4,Sad
Break Stuff,Significant Other (Explicit),Limp Bizkit,1rJ1xX2XBC8nesYapeO6Av,1999-06-16,0,166706,0.45,0.0108,0.877,0.000643,0.112,0.663,-6.676,0.156,108.501,8,4,Energetic
Breakers Roar,A Sailor's Guide to Earth,Sturgill Simpson,7rR5X9RKz5VprclstYOLb5,2016-04-15,49,212586,0.369,0.669,0.31,0.514,0.245,0.165,-13.384,0.0309,84.41,11,4,Calm
Breathe,Breathe,Hans Voller,5q2hzGmdBeXEWuMOlOMOt2,2019-10-28,29,166194,0.612,0.99,0.037,0.947,0.108,0.103,-18.855,0.0408,113.008,11,3,Calm
Breathe Me,Colour The Small One,Sia,7jqzZyJJLrpkRFYGpkqSK6,2004-01-01,68,272800,0.552,0.0364,0.643,0.74,0.105,0.212,-7.36,0.0327,120.012,0,4,Sad
Bridges - Acoustic,Bridges Collection,Aisha Badru,7py6lV4iFplM2gR4kGCLwm,2018-07-20,37,193038,0.318,0.722,0.326,0,0.18,0.202,-9.983,0.037,171.095,1,5,Calm
Brimful of Asha - Norman Cook Remix,Why Try Harder - Greatest Hits,Fatboy Slim,5BegkNkGXa6TUobnxy5LFL,2006-06-01,0,238933,0.663,0.18,0.957,0,0.348,0.937,-2.823,0.0584,125.678,11,4,Happy
Bruises,Divinely Uninspired To A Hellish Extent,Lewis Capaldi,4Of7rzpRpV1mWRbhp5rAqG,2019-05-17,84,220492,0.736,0.946,0.308,0,0.186,0.361,-7.83,0.0677,111.202,4,4,Sad
Bust,M for Empathy,Lomelda,6vqxiOTAWPiO2Frn6uTP9B,2019-03-01,0,91989,0.514,0.93,0.235,0.417,0.112,0.0898,-18.359,0.0467,154.672,0,1,Calm
Butterfly,The Gift Of Game,Crazy Town,4BggEwLhGfrbrl7JBhC8EC,1999-11-04,71,216733,0.736,0.00132,0.811,0.000142,0.107,0.609,-4.17,0.081,103.502,9,4,Happy
Bye Bye Little House,Bye Bye Little House,Ella van der Woude,7AQKjpzLGVBKvTDyoJ7YVK,2020-01-03,30,202405,0.31,0.985,0.0313,0.94,0.263,0.182,-23.55,0.0325,92.857,10,4,Calm
California Dreamin',If You Can Believe Your Eyes And Ears,The Mamas & The Papas,63rva3TBizr6x1Yp5uwKfD,1966-03,50,157960,0.554,0.628,0.667,0,0.0486,0.597,-10.226,0.0342,112.749,1,4,Happy
